date,year,window,int/ext,within_league,season,player_name,position,from_country,from_league,from_team,to_country,to_league,team,age_transfer,market value,fee amount,duration_cleaned,dur_rounded,fee amount_mean,date_deadline,days_to_deadline,dtd_rounded
2015-08-31,2015,1,E,False,15/16,Mihai Roman,Centre-Forward,Romania,Liga 1,Pandurii  ,Netherlands,Eredivisie,NEC Nijmegen,23,1.5,0.35,0.0,0,0.2375,2015-08-31,0,0
2015-08-25,2015,1,I,True,15/16,Joey Sleegers,Left Winger,Netherlands,Eredivisie,Feyenoord ,Netherlands,Eredivisie,NEC Nijmegen,21,0.45,0.1,10.0,12,0.2375,2015-08-31,6,10
2015-08-06,2015,1,I,False,15/16,Juan Carlos,Goalkeeper,Spain,Segunda División,Córdoba CF ,Spain,Primera División,Rayo Vallecano,27,0.6,0.1,0.0,0,1.38125,2015-08-31,25,20
2015-07-01,2015,1,E,False,15/16,Éder,Centre-Forward,Portugal,Primeira Liga,Braga ,England,Premier League,Swansea City,27,6.0,6.7,11.0,12,5.430519999999999,2015-09-01,62,60
2015-07-01,2015,1,E,False,15/16,Kristoffer Nordfeldt,Goalkeeper,Netherlands,Eredivisie,Heerenveen ,England,Premier League,Swansea City,26,3.0,0.85,11.0,12,5.430519999999999,2015-09-01,62,60
2015-07-13,2015,1,I,False,15/16,Oliver McBurnie,Centre-Forward,England,League One,Bradford ,England,Premier League,Swansea City,19,0.05,0.35,11.0,12,5.430519999999999,2015-09-01,50,50
2015-08-17,2015,1,E,False,15/16,Botti Biabi,Centre-Forward,Scotland,Scottish Championship,Falkirk FC ,England,Premier League,Swansea City,19,0.025,0.21,21.0,24,5.430519999999999,2015-09-01,15,20
2015-07-16,2015,1,E,False,15/16,Léo Bonatini,Centre-Forward,Brazil,Campeonato Brasileiro Série A,Cruzeiro ,Portugal,Primeira Liga,GD Estoril Praia,21,1.0,0.4,12.0,12,0.18388888888888888,2015-08-31,46,50
2015-08-16,2015,1,E,False,15/16,Jaba Kankava,Defensive Midfield,Ukraine,Premier Liga,Dnipro ,France,Ligue 1,Stade Reims,29,4.0,1.5,34.0,36,2.9062500000000004,2015-08-31,15,20
2015-07-17,2015,1,E,False,15/16,Hamari Traoré,Right-Back,Belgium,2.Division,Lierse SK ,France,Ligue 1,Stade Reims,23,0.9,0.9,0.0,0,2.9062500000000004,2015-08-31,45,40
2015-09-01,2015,1,I,True,15/16,Stevie May,Centre-Forward,England,Championship,Sheff Wed ,England,Championship,Preston North End,22,1.0,1.1,33.0,36,0.9138333333333334,2015-09-01,0,0
2015-07-06,2015,1,E,False,15/16,Ivan Maevskiy,Defensive Midfield,Poland,1 Liga,Zawisza ,Russia,Premier Liga,Anzhi Makhachkala,27,0.6,0.25,11.0,12,0.25933333333333336,2015-07-29,23,20
2015-07-01,2015,1,E,False,15/16,Darko Lazic,Centre-Back,Serbia,SuperLiga,Red Star ,Russia,Premier Liga,Anzhi Makhachkala,20,0.75,0.15,11.0,12,0.25933333333333336,2015-07-29,28,30
2015-07-01,2015,1,I,True,15/16,Gonzalo Castro,Central Midfield,Germany,1.Bundesliga,Bay. Leverkusen ,Germany,1.Bundesliga,Borussia Dortmund,28,14.0,11.0,11.0,12,15.689411764705884,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Roman Bürki,Goalkeeper,Germany,2.Bundesliga,SC Freiburg ,Germany,1.Bundesliga,Borussia Dortmund,24,6.0,3.5,35.0,36,15.689411764705884,2015-08-31,61,60
2015-08-29,2015,1,I,True,15/16,Ju-ho Park,Left-Back,Germany,1.Bundesliga,1.FSV Mainz 05 ,Germany,1.Bundesliga,Borussia Dortmund,28,2.5,3.0,22.0,24,15.689411764705884,2015-08-31,2,0
2015-07-01,2015,1,I,False,15/16,Julian Weigl,Defensive Midfield,Germany,2.Bundesliga,1860 Munich ,Germany,1.Bundesliga,Borussia Dortmund,19,2.0,2.5,23.0,24,15.689411764705884,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Petr Cech,Goalkeeper,England,Premier League,Chelsea ,England,Premier League,Arsenal FC,33,12.0,14.0,11.0,12,24.3376,2015-09-01,62,60
2015-08-21,2015,1,I,True,15/16,Andre Gray,Centre-Forward,England,Championship,Brentford ,England,Championship,Burnley FC,24,1.0,12.4,22.0,24,5.9613461538461525,2015-09-01,11,10
2015-07-07,2015,1,E,False,15/16,Jelle Vossen,Centre-Forward,Belgium,Jupiler Pro League,KRC Genk ,England,Championship,Burnley FC,26,5.0,3.15,23.0,24,5.9613461538461525,2015-09-01,56,60
2015-08-14,2015,1,E,False,15/16,Rouwen Hennings,Centre-Forward,Germany,2.Bundesliga,Karlsruher SC ,England,Championship,Burnley FC,27,1.5,2.5,22.0,24,5.9613461538461525,2015-09-01,18,20
2015-07-01,2015,1,I,False,15/16,Matthew Lowton,Right-Back,England,Premier League,Aston Villa ,England,Championship,Burnley FC,26,2.0,1.4,23.0,24,5.9613461538461525,2015-09-01,62,60
2015-07-28,2015,1,I,False,15/16,Chris Long,Centre-Forward,England,U21 Premier League,Everton U23 ,England,Championship,Burnley FC,20,0.2,1.4,0.0,0,5.9613461538461525,2015-09-01,35,40
2015-07-30,2015,1,I,False,15/16,Tendayi Darikwa,Right-Back,England,League One,Chesterfield FC ,England,Championship,Burnley FC,23,0.15,0.855,0.0,0,5.9613461538461525,2015-09-01,33,30
2015-07-01,2015,1,E,False,15/16,Luc Castaignos,Centre-Forward,Netherlands,Eredivisie,Twente FC ,Germany,1.Bundesliga,Eintracht Frankfurt,22,5.0,2.5,11.0,12,3.5085714285714285,2015-08-31,61,60
2015-08-07,2015,1,E,False,15/16,Lukas Hradecky,Goalkeeper,Denmark,Superligaen,Bröndby IF ,Germany,1.Bundesliga,Eintracht Frankfurt,25,1.25,2.5,22.0,24,3.5085714285714285,2015-08-31,24,20
2015-07-02,2015,1,I,True,15/16,David Abraham,Centre-Back,Germany,1.Bundesliga,TSG Hoffenheim ,Germany,1.Bundesliga,Eintracht Frankfurt,28,2.0,1.5,11.0,12,3.5085714285714285,2015-08-31,60,60
2015-08-12,2015,1,E,False,15/16,Mijat Gacinovic,Attacking Midfield,Cyprus,Division A,Apol. Limassol ,Germany,1.Bundesliga,Eintracht Frankfurt,20,1.75,1.25,0.0,0,3.5085714285714285,2015-08-31,19,20
2015-07-01,2015,1,I,False,15/16,Robin Gosens,Left-Back,Netherlands,Beloften Eredivisie,Vitesse U21 ,Netherlands,Eredivisie,Heracles Almelo,20,0.45,0.2,11.0,12,0.2677777777777778,2015-08-31,61,60
2015-08-20,2015,1,E,False,15/16,Pedro,Right Winger,Spain,Primera División,FC Barcelona ,England,Premier League,Chelsea FC,28,20.0,27.0,46.0,48,32.53333333333333,2015-09-01,12,10
2015-08-16,2015,1,E,False,15/16,Abdul Rahman Baba,Left-Back,Germany,1.Bundesliga,FC Augsburg ,England,Premier League,Chelsea FC,21,10.0,26.0,46.0,48,32.53333333333333,2015-09-01,16,20
2015-07-13,2015,1,I,True,15/16,Asmir Begovic,Goalkeeper,England,Premier League,Stoke City ,England,Premier League,Chelsea FC,28,12.0,11.0,11.0,12,32.53333333333333,2015-09-01,50,50
2015-08-22,2015,1,E,False,15/16,Kenedy,Left Winger,Brazil,Campeonato Brasileiro Série A,Fluminense ,England,Premier League,Chelsea FC,19,6.0,8.0,40.0,42,32.53333333333333,2015-09-01,10,10
2015-09-01,2015,1,I,False,15/16,Michael Hector,Centre-Back,England,Championship,Reading ,England,Premier League,Chelsea FC,23,0.75,5.4,0.0,0,32.53333333333333,2015-09-01,0,0
2015-07-01,2015,1,E,False,15/16,Nathan,Attacking Midfield,Brazil,Campeonato Brasileiro Série A,Atlético-PR ,England,Premier League,Chelsea FC,19,3.0,4.0,0.0,0,32.53333333333333,2015-09-01,62,60
2015-09-01,2015,1,E,False,15/16,Papy Djilobodji,Centre-Back,France,Ligue 1,FC Nantes ,England,Premier League,Chelsea FC,26,6.5,3.5,9.0,12,32.53333333333333,2015-09-01,0,0
2015-08-28,2015,1,E,False,15/16,Heung-min Son,Left Winger,Germany,1.Bundesliga,Bay. Leverkusen ,England,Premier League,Tottenham Hotspur,23,16.0,30.0,34.0,36,22.278260869565223,2015-09-01,4,0
2015-07-08,2015,1,E,False,15/16,Toby Alderweireld,Centre-Back,Spain,Primera División,Atlético Madrid ,England,Premier League,Tottenham Hotspur,26,15.0,16.0,23.0,24,22.278260869565223,2015-09-01,55,60
2015-08-15,2015,1,E,False,15/16,Clinton N'Jie,Right Winger,France,Ligue 1,Olympique Lyon ,England,Premier League,Tottenham Hotspur,22,5.0,14.1,46.0,48,22.278260869565223,2015-09-01,17,20
2015-07-01,2015,1,E,False,15/16,Kevin Wimmer,Centre-Back,Germany,1.Bundesliga,1. FC Köln ,England,Premier League,Tottenham Hotspur,22,7.5,6.0,47.0,48,22.278260869565223,2015-09-01,62,60
2015-07-01,2015,1,I,False,15/16,Kieran Trippier,Right-Back,England,Championship,Burnley ,England,Premier League,Tottenham Hotspur,24,6.0,4.9,0.0,0,22.278260869565223,2015-09-01,62,60
2015-07-01,2015,1,E,False,15/16,Sheran Yeini,Centre-Back,Israel,Ligat ha Al,M. Tel Aviv ,Netherlands,Eredivisie,Vitesse Arnhem,28,0.75,0.4,0.0,0,0.8593333333333334,2015-08-31,61,60
2015-07-01,2015,1,unknown,False,15/16,Milot Rashica,Left Winger,Unknown,Unknown,KF Vushtrria ,Netherlands,Eredivisie,Vitesse Arnhem,19,0.05,0.3,0.0,0,0.8593333333333334,2015-07-01,0,0
2015-07-23,2015,1,E,False,15/16,Sidnei,Centre-Back,Portugal,Primeira Liga,Benfica ,Spain,Primera División,Deportivo de La Coruña,25,3.0,6.5,11.0,12,2.9625,2015-08-31,39,40
2015-08-12,2015,1,E,False,15/16,Lucas Pérez,Centre-Forward,Greece,Super League,PAOK Salonika ,Spain,Primera División,Deportivo de La Coruña,26,3.0,1.5,10.0,12,2.9625,2015-08-31,19,20
2015-07-07,2015,1,I,True,15/16,Ryad Boudebouz,Attacking Midfield,France,Ligue 1,SC Bastia ,France,Ligue 1,Montpellier HSC,25,3.0,1.7,11.0,12,2.5420454545454545,2015-08-31,55,60
2015-08-31,2015,1,unknown,False,15/16,Casimir Ninga,Left Winger,Unknown,Unknown,Mangasport ,France,Ligue 1,Montpellier HSC,22,7.5e-05,0.075,0.0,0,2.5420454545454545,2015-08-31,0,0
2015-07-01,2015,1,I,True,15/16,Lucas Ocampos,Right Winger,France,Ligue 1,Monaco ,France,Ligue 1,Olympique Marseille,20,6.5,7.5,23.0,24,8.942307692307693,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Karim Rekik,Centre-Back,England,Premier League,Man City ,France,Ligue 1,Olympique Marseille,20,4.0,5.0,11.0,12,8.942307692307693,2015-08-31,61,60
2015-07-03,2015,1,I,False,15/16,Bouna Sarr,Right-Back,France,Ligue 2,FC Metz ,France,Ligue 1,Olympique Marseille,23,1.5,2.0,11.0,12,8.942307692307693,2015-08-31,59,60
2015-08-31,2015,1,E,False,15/16,Rolando,Centre-Back,Portugal,Primeira Liga,FC Porto ,France,Ligue 1,Olympique Marseille,30,3.5,1.5,9.0,12,8.942307692307693,2015-08-31,0,0
2015-07-01,2015,1,I,True,15/16,Georges-Kevin N'Koudou,Left Winger,France,Ligue 1,FC Nantes ,France,Ligue 1,Olympique Marseille,20,2.0,1.5,11.0,12,8.942307692307693,2015-08-31,61,60
2015-07-11,2015,1,E,False,15/16,Georginio Wijnaldum,Central Midfield,Netherlands,Eredivisie,PSV Eindhoven ,England,Premier League,Newcastle United,24,15.0,20.0,35.0,36,10.956176470588234,2015-09-01,52,50
2015-07-21,2015,1,E,False,15/16,Aleksandar Mitrovic,Centre-Forward,Belgium,Jupiler Pro League,RSC Anderlecht ,England,Premier League,Newcastle United,20,11.0,18.5,35.0,36,10.956176470588234,2015-09-01,42,40
2015-08-19,2015,1,E,False,15/16,Florian Thauvin,Right Winger,France,Ligue 1,Marseille ,England,Premier League,Newcastle United,22,12.0,18.35,34.0,36,10.956176470588234,2015-09-01,13,10
2015-07-30,2015,1,E,False,15/16,Chancel Mbemba,Centre-Back,Belgium,Jupiler Pro League,RSC Anderlecht ,England,Premier League,Newcastle United,20,8.0,12.0,23.0,24,10.956176470588234,2015-09-01,33,30
2015-08-06,2015,1,I,False,15/16,Ivan Toney,Centre-Forward,England,League Two,Northampton ,England,Premier League,Newcastle United,19,0.15,0.36,10.0,12,10.956176470588234,2015-09-01,26,30
2015-07-01,2015,1,I,False,15/16,Christian Bekamenga,Centre-Forward,France,Ligue 2,Stade Lavallois ,France,Ligue 1,ES Troyes AC,29,0.8,0.3,11.0,12,0.3,2015-08-31,61,60
2015-07-28,2015,1,E,False,15/16,Arturo Vidal,Central Midfield,Italy,Serie A,Juventus ,Germany,1.Bundesliga,Bayern Munich,28,42.0,39.25,23.0,24,23.828947368421048,2015-08-31,34,30
2015-07-01,2015,1,E,False,15/16,Douglas Costa,Right Winger,Ukraine,Premier Liga,Shakhtar D. ,Germany,1.Bundesliga,Bayern Munich,24,23.0,30.0,35.0,36,23.828947368421048,2015-08-31,61,60
2015-07-02,2015,1,I,True,15/16,Joshua Kimmich,Defensive Midfield,Germany,1.Bundesliga,VfB Stuttgart ,Germany,1.Bundesliga,Bayern Munich,20,5.0,8.5,0.0,0,23.828947368421048,2015-08-31,60,60
2015-07-01,2015,1,I,True,15/16,Sven Ulreich,Goalkeeper,Germany,1.Bundesliga,VfB Stuttgart ,Germany,1.Bundesliga,Bayern Munich,26,3.5,3.5,23.0,24,23.828947368421048,2015-08-31,61,60
2015-07-25,2015,1,E,True,15/16,Gaspar Iñíguez,Central Midfield,Argentina,Primera División,Argentinos Jrs. ,Spain,Primera División,Granada CF,21,1.4,1.2,0.0,0,2.5164705882352942,2015-08-31,37,40
2015-07-01,2015,1,I,False,15/16,Edgar Méndez,Right Winger,Spain,Segunda División,UD Almería ,Spain,Primera División,Granada CF,25,2.5,0.75,0.0,0,2.5164705882352942,2015-08-31,61,60
2015-07-03,2015,1,E,False,15/16,Carlos Bacca,Centre-Forward,Spain,Primera División,Sevilla FC ,Italy,Serie A,AC Milan,28,25.0,33.3,35.0,36,16.296857142857142,2015-08-31,59,60
2015-08-11,2015,1,I,True,15/16,Alessio Romagnoli,Centre-Back,Italy,Serie A,AS Roma ,Italy,Serie A,AC Milan,20,8.5,25.0,34.0,36,16.296857142857142,2015-08-31,20,20
2015-07-02,2015,1,E,False,15/16,Luiz Adriano,Centre-Forward,Ukraine,Premier Liga,Shakhtar D. ,Italy,Serie A,AC Milan,28,8.5,14.0,5.0,6,16.296857142857142,2015-08-31,60,60
2015-08-28,2015,1,I,True,15/16,Juraj Kucka,Central Midfield,Italy,Serie A,Genoa ,Italy,Serie A,AC Milan,28,6.0,4.0,10.0,12,16.296857142857142,2015-08-31,3,0
2015-07-01,2015,1,I,True,15/16,Simone Verdi,Attacking Midfield,Italy,Serie A,Torino ,Italy,Serie A,AC Milan,22,3.0,0.45,0.0,0,16.296857142857142,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Matteo Pessina,Central Midfield,Italy,Serie D - Girone B,Monza ,Italy,Serie A,AC Milan,18,0.25,0.02,35.0,36,16.296857142857142,2015-08-31,61,60
2015-08-06,2015,1,E,False,15/16,Majeed Waris,Centre-Forward,Turkey,Süper Lig,Trabzonspor ,France,Ligue 1,FC Lorient,23,4.25,4.73,34.0,36,3.311818181818182,2015-08-31,25,20
2015-08-05,2015,1,I,True,15/16,Benjamin Moukandjo,Centre-Forward,France,Ligue 1,Stade Reims ,France,Ligue 1,FC Lorient,26,2.5,1.5,10.0,12,3.311818181818182,2015-08-31,26,30
2015-08-31,2015,1,I,False,15/16,Zargo Touré,Centre-Back,France,Ligue 2,AC Le Havre ,France,Ligue 1,FC Lorient,25,0.8,1.5,9.0,12,3.311818181818182,2015-08-31,0,0
2015-07-22,2015,1,E,False,15/16,Moryké Fofana,Left Winger,Norway,Tippeligaen,Lillestrøm SK ,France,Ligue 1,FC Lorient,23,0.7,0.4,5.0,6,3.311818181818182,2015-08-31,40,40
2015-08-31,2015,1,I,False,15/16,Stanley Elbers,Right Winger,Netherlands,Jupiler League,Helmond Sport ,Netherlands,Eredivisie,SBV Excelsior Rotterdam,23,0.2,0.3,21.0,24,0.3,2015-08-31,0,0
2015-08-13,2015,1,I,True,15/16,Eric Botteghin,Centre-Back,Netherlands,Eredivisie,FC Groningen ,Netherlands,Eredivisie,Feyenoord Rotterdam,27,3.0,2.5,10.0,12,2.9473684210526314,2015-08-31,18,20
2015-08-07,2015,1,I,True,15/16,Michiel Kramer,Centre-Forward,Netherlands,Eredivisie,ADO Den Haag ,Netherlands,Eredivisie,Feyenoord Rotterdam,26,2.5,1.5,10.0,12,2.9473684210526314,2015-08-31,24,20
2015-07-15,2015,1,E,False,15/16,Simon Gustafson,Attacking Midfield,Sweden,Allsvenskan,Häcken ,Netherlands,Eredivisie,Feyenoord Rotterdam,20,1.0,1.5,17.0,18,2.9473684210526314,2015-08-31,47,50
2015-07-16,2015,1,I,True,15/16,Tozé,Attacking Midfield,Portugal,Primeira Liga,FC Porto ,Portugal,Primeira Liga,Vitória Guimarães SC,22,3.5,1.5,0.0,0,0.9384210526315788,2015-08-26,41,40
2015-07-01,2015,1,I,False,15/16,Dalbert,Left-Back,Portugal,Segunda Liga,Académico Viseu ,Portugal,Primeira Liga,Vitória Guimarães SC,21,0.25,0.5,0.0,0,0.9384210526315788,2015-08-26,56,60
2015-07-01,2015,1,I,True,15/16,Tom Cairney,Central Midfield,England,Championship,Blackburn ,England,Championship,Fulham FC,24,3.0,4.2,23.0,24,6.175,2015-09-01,62,60
2015-08-20,2015,1,I,True,15/16,Tim Ream,Centre-Back,England,Championship,Bolton ,England,Championship,Fulham FC,27,1.5,1.7,22.0,24,6.175,2015-09-01,12,10
2015-09-01,2015,1,I,True,15/16,Richard Stearman,Centre-Back,England,Championship,Wolves ,England,Championship,Fulham FC,28,1.3,1.38,0.0,0,6.175,2015-09-01,0,0
2015-08-31,2015,1,I,True,15/16,Ryan Fredericks,Right-Back,England,Championship,Bristol City ,England,Championship,Fulham FC,22,0.25,0.25,33.0,36,6.175,2015-09-01,1,0
2015-08-04,2015,1,E,False,15/16,Sakari Mattila,Defensive Midfield,Norway,Tippeligaen,Aalesund ,England,Championship,Fulham FC,26,0.5,0.2,16.0,18,6.175,2015-09-01,28,30
2015-08-06,2015,1,E,False,15/16,Ángel Di María,Right Winger,England,Premier League,Man Utd ,France,Ligue 1,Paris Saint-Germain,27,50.0,63.0,46.0,48,38.25454545454546,2015-08-31,25,20
2015-08-27,2015,1,I,True,15/16,Layvin Kurzawa,Left-Back,France,Ligue 1,Monaco ,France,Ligue 1,Paris Saint-Germain,22,10.0,25.0,34.0,36,38.25454545454546,2015-08-31,4,0
2015-07-01,2015,1,I,True,15/16,Serge Aurier,Right-Back,France,Ligue 1,Toulouse ,France,Ligue 1,Paris Saint-Germain,22,10.0,10.0,11.0,12,38.25454545454546,2015-08-31,61,60
2015-07-08,2015,1,E,False,15/16,Kevin Trapp,Goalkeeper,Germany,1.Bundesliga,E. Frankfurt ,France,Ligue 1,Paris Saint-Germain,25,8.0,9.5,11.0,12,38.25454545454546,2015-08-31,54,50
2015-07-21,2015,1,E,False,15/16,Benjamin Stambouli,Centre-Back,England,Premier League,Spurs ,France,Ligue 1,Paris Saint-Germain,24,5.0,8.6,47.0,48,38.25454545454546,2015-08-31,41,40
2015-07-01,2015,1,E,False,15/16,Shinji Okazaki,Centre-Forward,Germany,1.Bundesliga,1.FSV Mainz 05 ,England,Premier League,Leicester City,29,8.0,11.0,11.0,12,15.680645161290322,2015-09-01,62,60
2015-08-03,2015,1,E,False,15/16,N'Golo Kanté,Central Midfield,France,Ligue 1,SM Caen ,England,Premier League,Leicester City,24,4.5,9.0,34.0,36,15.680645161290322,2015-09-01,29,30
2015-08-19,2015,1,E,False,15/16,Gökhan Inler,Defensive Midfield,Italy,Serie A,SSC Napoli ,England,Premier League,Leicester City,31,7.5,7.0,10.0,12,15.680645161290322,2015-09-01,13,10
2015-08-03,2015,1,E,False,15/16,Yohan Benalouane,Centre-Back,Italy,Serie A,Atalanta ,England,Premier League,Leicester City,28,1.3,7.0,46.0,48,15.680645161290322,2015-09-01,29,30
2015-07-01,2015,1,I,True,15/16,Robert Huth,Centre-Back,England,Premier League,Stoke City ,England,Premier League,Leicester City,30,5.0,4.2,11.0,12,15.680645161290322,2015-09-01,62,60
2015-07-01,2015,1,I,False,15/16,Chris Wood,Centre-Forward,England,Premier League,Leicester ,England,Championship,Leeds United,23,1.0,3.6,0.0,0,4.908939393939394,2015-09-01,62,60
2015-08-04,2015,1,I,True,15/16,Stuart Dallas,Right-Back,England,Championship,Brentford ,England,Championship,Leeds United,24,0.35,1.9,22.0,24,4.908939393939394,2015-09-01,28,30
2015-09-01,2015,1,E,False,15/16,Jordan Botaka,Right-Back,Netherlands,Eredivisie,Excelsior ,England,Championship,Leeds United,22,0.75,0.675,0.0,0,4.908939393939394,2015-09-01,0,0
2015-09-01,2015,1,E,False,15/16,Anthony Martial,Centre-Forward,France,Ligue 1,Monaco ,England,Premier League,Manchester United,19,8.0,60.0,45.0,48,40.01652173913043,2015-09-01,0,0
2015-07-13,2015,1,I,True,15/16,Morgan Schneiderlin,Defensive Midfield,England,Premier League,Southampton ,England,Premier League,Manchester United,25,28.0,35.0,23.0,24,40.01652173913043,2015-09-01,50,50
2015-07-01,2015,1,E,False,15/16,Memphis Depay,Left Winger,Netherlands,Eredivisie,PSV Eindhoven ,England,Premier League,Manchester United,21,28.0,34.0,35.0,36,40.01652173913043,2015-09-01,62,60
2015-07-11,2015,1,E,False,15/16,Matteo Darmian,Right-Back,Italy,Serie A,Torino ,England,Premier League,Manchester United,25,12.0,18.0,23.0,24,40.01652173913043,2015-09-01,52,50
2015-07-13,2015,1,E,False,15/16,Bastian Schweinsteiger,Central Midfield,Germany,1.Bundesliga,Bayern Munich  ,England,Premier League,Manchester United,30,22.0,9.0,11.0,12,40.01652173913043,2015-09-01,50,50
2015-08-07,2015,1,I,True,15/16,Moses Odubajo,Right-Back,England,Championship,Brentford ,England,Championship,Hull City,22,1.5,5.0,22.0,24,3.0038636363636364,2015-09-01,25,20
2015-08-27,2015,1,E,False,15/16,Shaun Maloney,Attacking Midfield,United States,Major League Soccer,Chicago Fire ,England,Championship,Hull City,32,1.5,2.0,0.0,0,3.0038636363636364,2015-09-01,5,0
2015-07-27,2015,1,I,False,15/16,Sam Clucas,Central Midfield,England,League One,Chesterfield FC ,England,Championship,Hull City,24,0.175,1.8,17.0,18,3.0038636363636364,2015-09-01,36,40
2015-08-18,2015,1,E,False,15/16,Mateo Kovacic,Central Midfield,Italy,Serie A,Inter ,Spain,Primera División,Real Madrid,21,22.0,38.0,46.0,48,27.98958333333333,2015-08-31,13,10
2015-07-01,2015,1,E,False,15/16,Danilo,Right-Back,Portugal,Primeira Liga,FC Porto ,Spain,Primera División,Real Madrid,23,25.0,31.5,0.0,0,27.98958333333333,2015-08-31,61,60
2015-07-17,2015,1,I,True,15/16,Kiko Casilla,Goalkeeper,Spain,Primera División,Espanyol ,Spain,Primera División,Real Madrid,28,7.5,6.0,35.0,36,27.98958333333333,2015-08-31,45,40
2015-07-31,2015,1,I,False,15/16,Jesús Vallejo,Centre-Back,Spain,Segunda División,Real Zaragoza ,Spain,Primera División,Real Madrid,18,2.0,5.0,46.0,48,27.98958333333333,2015-08-31,31,30
2015-07-01,2015,1,I,False,15/16,Marco Asensio,Left Winger,Spain,Segunda División,RCD Mallorca ,Spain,Primera División,Real Madrid,19,3.5,3.5,23.0,24,27.98958333333333,2015-08-31,61,60
2015-07-02,2015,1,I,True,15/16,Lucas Vázquez,Right Winger,Spain,Primera División,Espanyol ,Spain,Primera División,Real Madrid,24,5.0,1.0,47.0,48,27.98958333333333,2015-08-31,60,60
2015-08-31,2015,1,E,False,15/16,Jesús Corona,Right Winger,Netherlands,Eredivisie,Twente FC ,Portugal,Primeira Liga,FC Porto,22,6.5,10.5,33.0,36,5.631714285714287,2015-08-31,0,0
2015-07-02,2015,1,I,True,15/16,Danilo Pereira,Defensive Midfield,Portugal,Primeira Liga,Marítimo ,Portugal,Primeira Liga,FC Porto,23,5.0,4.5,11.0,12,5.631714285714287,2015-08-26,55,60
2015-07-01,2015,1,I,True,15/16,André André,Central Midfield,Portugal,Primeira Liga,Vit. Guimarães ,Portugal,Primeira Liga,FC Porto,25,5.5,1.5,23.0,24,5.631714285714287,2015-08-26,56,60
2015-07-01,2015,1,I,True,15/16,Sérgio Oliveira,Central Midfield,Portugal,Primeira Liga,Paços Ferreira ,Portugal,Primeira Liga,FC Porto,23,2.5,1.0,11.0,12,5.631714285714287,2015-08-26,56,60
2015-07-26,2015,1,E,False,15/16,Deyverson,Centre-Forward,Portugal,Primeira Liga,Belenenses SAD ,Spain,Primera División,Levante UD,24,0.75,1.8,23.0,24,2.5886363636363643,2015-08-31,36,40
2015-08-31,2015,1,I,False,15/16,Diego Mariño,Goalkeeper,Spain,Segunda División,Real Valladolid ,Spain,Primera División,Levante UD,25,2.5,0.25,33.0,36,2.5886363636363643,2015-08-31,0,0
2015-07-01,2015,1,I,False,15/16,Luka Krajnc,Centre-Back,Italy,Serie B,Cesena ,Italy,Serie A,Genoa CFC,20,1.4,5.0,23.0,24,3.4467611111111114,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Michael Ventre,Second Striker,Italy,Serie A,Inter ,Italy,Serie A,Genoa CFC,19,0.1,3.5,0.0,0,3.4467611111111114,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Leonardo Pavoletti,Centre-Forward,Italy,Serie A,Sassuolo ,Italy,Serie A,Genoa CFC,26,3.5,3.0,0.0,0,3.4467611111111114,2015-08-31,61,60
2015-08-10,2015,1,E,False,15/16,Salomón Rondón,Centre-Forward,Russia,Premier Liga,Zenit S-Pb ,England,Premier League,West Bromwich Albion,25,15.0,17.0,34.0,36,7.046206896551722,2015-09-01,22,20
2015-07-29,2015,1,I,False,15/16,James Chester,Centre-Back,England,Championship,Hull City ,England,Premier League,West Bromwich Albion,26,2.0,11.3,0.0,0,7.046206896551722,2015-09-01,34,30
2015-08-29,2015,1,I,True,15/16,Jonny Evans,Centre-Back,England,Premier League,Man Utd ,England,Premier League,West Bromwich Albion,27,6.0,8.3,0.0,0,7.046206896551722,2015-09-01,3,0
2015-07-31,2015,1,I,True,15/16,Rickie Lambert,Centre-Forward,England,Premier League,Liverpool ,England,Premier League,West Bromwich Albion,33,3.0,4.2,10.0,12,7.046206896551722,2015-09-01,32,30
2015-07-01,2015,1,I,False,15/16,James McClean,Left Midfield,England,League One,Wigan ,England,Premier League,West Bromwich Albion,26,3.0,2.1,11.0,12,7.046206896551722,2015-09-01,62,60
2015-08-05,2015,1,E,False,15/16,Nordin Amrabat,Right Winger,Turkey,Süper Lig,Galatasaray ,Spain,Primera División,Málaga CF,28,6.0,3.5,22.0,24,2.2384615384615385,2015-08-31,26,30
2015-07-01,2015,1,I,True,15/16,Charles,Centre-Forward,Spain,Primera División,Celta de Vigo ,Spain,Primera División,Málaga CF,31,2.0,0.5,23.0,24,2.2384615384615385,2015-08-31,61,60
2015-08-30,2015,1,I,True,15/16,Raúl García,Centre-Forward,Spain,Primera División,Atlético Madrid ,Spain,Primera División,Athletic Bilbao,29,12.0,10.0,34.0,36,10.675,2015-08-31,1,0
2015-08-07,2015,1,E,False,15/16,Luka Zahovic,Centre-Forward,Slovenia,Prva Liga,NK Maribor ,Netherlands,Eredivisie,SC Heerenveen,19,0.8,0.7,22.0,24,0.9023529411764708,2015-08-31,24,20
